X_coord,Y_coord,StackHeight,Classification
-2223,-6,2,1
-2223,-5,2,1
-2223,-4,3,1
-2223,49,2,2
-2223,50,2,2
-2223,57,3,1
-2223,58,2,2
-2222,-4,3,1
-2222,47,3,1
-2222,48,3,2
-2222,49,3,1
-2222,50,2,1
-2221,-6,2,1
-2221,-5,2,1
-2221,-4,3,1
-2218,58,2,1
-2217,-2,3,1
-2216,-2,2,3
-2209,26,3,1
-2209,27,3,1
-2209,33,3,1
-2209,37,2,1
-2209,58,3,1
-2209,59,3,1
-2208,26,3,1
-2208,33,3,1
-2208,37,2,1
-2208,58,3,1
-2207,26,2,1
-2207,27,2,3
-2207,58,2,1
-2207,59,2,2
-2206,1,2,1
-2206,2,2,2
-2206,3,2,2
-2206,53,2,1
-2205,3,2,3
-2205,53,2,1
-2204,0,3,1
-2204,1,3,2
-2204,2,3,1
-2204,3,2,1
-2204,53,3,1
-2203,36,2,1
-2203,53,2,2
-2202,34,3,1
-2202,36,2,1
-2202,58,3,1
-2201,58,3,1
-2200,58,2,1
-2200,59,2,1
-2199,31,3,1
-2199,33,3,1
-2198,31,3,1
-2198,32,2,3
-2198,33,2,1
-2198,47,2,2
-2197,47,3,1
-2196,47,2,1
-2195,0,2,1
-2195,1,2,3
-2195,2,3,1
-2194,0,2,3
-2194,2,3,1
-2193,0,2,3
-2192,36,2,1
-2191,58,2,1
-2191,59,2,2
-2190,58,3,1
-2189,58,3,1
-2189,59,3,1
-2184,53,2,2
-2183,29,2,1
-2183,31,2,1
-2182,0,2,1
-2182,1,3,1
-2182,29,2,1
-2182,30,2,1
-2182,31,2,1
-2181,1,3,1
-2181,8,2,1
-2181,43,2,1
-2180,1,2,1
-2180,8,2,1
-2180,43,3,1
-2179,1,2,1
-2179,7,2,1
-2179,8,2,1
-2179,15,3,1
-2179,42,3,1
-2179,43,3,1
-2178,0,2,1
-2178,1,2,1
-2178,15,3,1
-2177,15,2,1
-2176,15,2,1
-2173,2,3,1
-2173,4,3,1
-2173,35,2,1
-2173,36,3,1
-2173,37,3,1
-2173,38,3,1
-2173,39,3,1
-2173,40,3,1
-2172,2,2,1
-2172,8,2,3
-2172,35,3,1
-2172,37,3,3
-2171,2,2,1
-2171,3,2,1
-2171,35,3,1
-2171,36,3,1
-2171,37,2,1
-2171,38,3,1
-2171,40,3,1
-2169,14,2,1
-2169,15,2,1
-2169,44,3,1
-2169,45,3,1
-2168,15,2,3
-2168,45,2,3
-2167,30,3,3
-2167,37,3,1
-2167,38,3,1
-2167,39,3,1
-2167,44,2,3
-2167,45,3,1
-2166,39,3,1
-2165,36,2,1
-2165,37,2,1
-2165,38,2,1
-2165,39,2,1
-2163,8,3,3
-2162,29,3,3
-2161,47,3,1
-2157,12,1,1
-2157,17,1,1
-2156,12,1,1
-2156,17,1,1
-2156,35,3,1
-2156,36,3,1
-2156,37,3,1
-2155,12,1,1
-2155,17,1,1
-2155,35,3,1
-2155,37,3,1
-2154,35,2,1
-2154,36,2,3
-2154,37,2,1
-2149,47,2,1
-2148,47,2,1
-2147,5,3,1
-2147,6,3,1
-2147,7,3,1
-2147,47,2,2
-2147,48,2,2
-2147,49,2,2
-2147,50,2,2
-2147,51,2,2
-2147,52,2,2
-2147,53,2,1
-2146,5,2,1
-2146,7,2,2
-2145,5,2,1
-2145,6,2,2
-2145,7,2,1
-2143,-1,3,1
-2143,0,3,1
-2143,1,3,1
-2143,38,2,2
-2143,39,2,2
-2143,40,2,1
-2142,-1,2,1
-2142,1,2,2
-2142,40,2,2
-2141,-1,2,1
-2141,0,2,2
-2141,1,2,1
-2140,33,3,1
-2140,34,3,1
-2140,35,3,1
-2139,33,3,1
-2139,35,1,2
-2139,41,2,1
-2139,42,2,1
-2139,43,2,1
-2138,8,2,1
-2138,9,2,2
-2138,10,2,2
-2138,11,2,1
-2138,33,2,1
-2138,34,2,1
-2138,35,2,1
-2138,40,2,1
-2138,41,2,1
-2138,42,2,1
-2138,43,2,1
-2137,8,2,2
-2137,11,2,2
-2133,12,2,1
-2133,13,2,1
-2133,14,2,1
-2133,41,2,1
-2132,14,2,1
-2132,26,2,1
-2132,27,2,1
-2132,28,2,1
-2132,29,2,1
-2132,41,3,1
-2131,-1,2,2
-2131,0,2,1
-2131,12,2,1
-2131,13,2,1
-2131,14,2,1
-2131,29,2,1
-2131,30,2,1
-2131,31,2,1
-2131,41,3,1
-2131,56,2,1
-2131,57,3,1
-2130,0,3,1
-2130,57,3,1
-2129,-1,2,2
-2129,0,3,1
-2129,55,2,1
-2129,56,2,1
-2129,57,3,1
-2127,14,2,1
-2127,15,2,1
-2127,16,2,1
-2127,17,2,1
-2127,46,2,1
-2127,47,2,1
-2127,48,3,1
-2127,55,3,1
-2127,56,3,1
-2126,14,2,1
-2126,17,2,1
-2126,48,3,1
-2126,56,3,1
-2125,14,2,1
-2125,17,2,1
-2125,34,2,1
-2125,35,2,3
-2125,36,3,1
-2125,48,3,1
-2125,55,2,3
-2125,56,2,1
-2124,17,2,1
-2124,34,2,1
-2124,36,3,1
-2124,46,2,1
-2124,47,2,1
-2124,48,3,1
-2115,-1,2,3
-2115,0,2,1
-2115,15,1,1
-2115,16,2,1
-2115,39,2,1
-2115,40,2,2
-2115,41,2,1
-2115,47,3,1
-2114,0,3,1
-2114,13,2,1
-2114,14,2,1
-2114,15,2,1
-2114,16,2,1
-2114,47,3,1
-2114,55,3,1
-2114,56,3,1
-2113,0,3,1
-2113,30,3,1
-2113,31,3,1
-2113,45,2,1
-2113,46,2,1
-2113,47,3,1
-2113,56,3,1
-2112,0,3,1
-2112,30,2,2
-2112,55,2,2
-2112,56,2,1
-2111,-1,2,3
-2111,0,2,1
-2111,30,2,1
-2111,31,2,1
-2109,22,2,1
-2109,23,2,1
-2109,24,3,1
-2109,34,2,2
-2109,37,3,1
-2109,50,3,1
-2108,24,3,1
-2108,34,2,1
-2108,35,2,2
-2108,36,3,1
-2108,37,3,1
-2108,50,3,1
-2108,51,2,1
-2108,52,2,1
-2107,23,2,1
-2107,24,3,1
-2099,35,3,1
-2099,40,2,1
-2099,41,2,1
-2099,42,2,1
-2099,49,3,1
-2098,8,2,1
-2098,9,1,3
-2098,35,3,1
-2098,40,2,1
-2098,47,2,2
-2098,48,2,2
-2098,49,3,1
-2097,8,2,1
-2097,29,2,3
-2097,30,2,3
-2097,31,3,1
-2097,35,3,1
-2097,40,2,1
-2097,43,2,1
-2096,8,2,1
-2096,31,3,1
-2096,35,2,1
-2096,40,3,1
-2096,41,3,1
-2096,42,3,1
-2096,43,2,1
-2095,8,2,1
-2095,31,3,1
-2095,35,2,1
-2094,8,3,1
-2094,29,2,3
-2094,30,2,3
-2094,31,3,1
-2094,35,2,1
-2094,56,3,1
-2094,57,3,1
-2094,58,3,1
-2093,8,3,1
-2093,56,3,1
-2093,58,3,1
-2092,8,3,1
-2092,56,2,1
-2092,57,2,2
-2090,33,3,1
-2089,10,3,1
-2089,11,3,1
-2089,12,2,1
-2089,13,2,1
-2089,30,2,1
-2089,31,2,1
-2089,32,2,1
-2089,33,3,1
-2088,13,2,1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
